sim,b,est,shrinkage_factor,type,run,j,n,d
1,4.8385973612823615e-18,ate_ipw_2,0,old,1,1,50,ks
1,0.8357587287431776,ate_regr,0,old,1,1,50,ks
1,0.16424127125682236,ate_dr,0,old,1,1,50,ks
1,0,ate_strat,0,old,1,1,50,ks
1,1.2059915720773337e-18,ate_ipw_2,0,boot,1,1,50,ks
1,0.8190489108873334,ate_regr,0,boot,1,1,50,ks
1,0.18095108911266644,ate_dr,0,boot,1,1,50,ks
1,0,ate_strat,0,boot,1,1,50,ks
1,4.0719783210049035e-19,ate_ipw_2,0,all_boot,1,1,50,ks
1,0.8216745859035712,ate_regr,0,all_boot,1,1,50,ks
1,0.17832541409642869,ate_dr,0,all_boot,1,1,50,ks
1,0,ate_strat,0,all_boot,1,1,50,ks
1,-9.726085538980899e-17,ate_ipw_2,0,null,1,1,50,ks
1,-9.74488421045301e-16,ate_regr,0,null,1,1,50,ks
1,0,ate_dr,0,null,1,1,50,ks
1,1.000000000000005,ate_strat,0,null,1,1,50,ks
1,0,ate_ipw_2,0,gn,1,1,50,ks
1,1.0000000000000002,ate_regr,0,gn,1,1,50,ks
1,-4.221028247947437e-18,ate_dr,0,gn,1,1,50,ks
1,0,ate_strat,0,gn,1,1,50,ks
1,-9.726085538980899e-17,ate_ipw_2,0,hybrid_gn,1,1,50,ks
1,-9.74488421045301e-16,ate_regr,0,hybrid_gn,1,1,50,ks
1,0,ate_dr,0,hybrid_gn,1,1,50,ks
1,1.000000000000005,ate_strat,0,hybrid_gn,1,1,50,ks
2,0,ate_ipw_2,0,old,2,1,50,ks
2,0.9296720286232991,ate_regr,0,old,2,1,50,ks
2,0.07002630863300283,ate_dr,0,old,2,1,50,ks
2,3.016627436979091e-4,ate_strat,0,old,2,1,50,ks
2,2.168404344971009e-19,ate_ipw_2,0,boot,2,1,50,ks
2,0.9282923496866047,ate_regr,0,boot,2,1,50,ks
2,0.07117734606968949,ate_dr,0,boot,2,1,50,ks
2,5.303042437058243e-4,ate_strat,0,boot,2,1,50,ks
2,1.7155990249694944e-18,ate_ipw_2,0,all_boot,2,1,50,ks
2,0.8978317418582621,ate_regr,0,all_boot,2,1,50,ks
