sim,b,est,shrinkage_factor,type,run,j,n,d
1,0.20781576922004885,ate_ipw_2,0,old,1,1,50,ks
1,0.03454752818371652,ate_regr,0,old,1,1,50,ks
1,0.7576367025962346,ate_dr,0,old,1,1,50,ks
1,0,ate_strat,0,old,1,1,50,ks
1,0.19533078715828622,ate_ipw_2,0,boot,1,1,50,ks
1,0.046483080021893226,ate_regr,0,boot,1,1,50,ks
1,0.7581861328198206,ate_dr,0,boot,1,1,50,ks
1,0,ate_strat,0,boot,1,1,50,ks
1,0.21934334460963817,ate_ipw_2,0,all_boot,1,1,50,ks
1,0.026685580137829745,ate_regr,0,all_boot,1,1,50,ks
1,0.7539710752525322,ate_dr,0,all_boot,1,1,50,ks
1,0,ate_strat,0,all_boot,1,1,50,ks
1,8.433041809371751e-16,ate_ipw_2,0,null,1,1,50,ks
1,0.9999999999999991,ate_regr,0,null,1,1,50,ks
1,4.440892098500626e-16,ate_dr,0,null,1,1,50,ks
1,1.9385198248252192e-16,ate_strat,0,null,1,1,50,ks
1,0.027177051339232983,ate_ipw_2,0,gn,1,1,50,ks
1,0.9159422193876535,ate_regr,0,gn,1,1,50,ks
1,0,ate_dr,0,gn,1,1,50,ks
1,0.05688072927311344,ate_strat,0,gn,1,1,50,ks
1,8.433041809371751e-16,ate_ipw_2,0,hybrid_gn,1,1,50,ks
1,0.9999999999999991,ate_regr,0,hybrid_gn,1,1,50,ks
1,4.440892098500626e-16,ate_dr,0,hybrid_gn,1,1,50,ks
1,1.9385198248252192e-16,ate_strat,0,hybrid_gn,1,1,50,ks
2,-1.178887682086369e-17,ate_ipw_2,0,old,2,1,50,ks
2,0.47468104184531584,ate_regr,0,old,2,1,50,ks
2,0.5253189581546843,ate_dr,0,old,2,1,50,ks
2,0,ate_strat,0,old,2,1,50,ks
2,-4.729974430240529e-17,ate_ipw_2,0,boot,2,1,50,ks
2,0.4837829062707913,ate_regr,0,boot,2,1,50,ks
2,0.5162170937292088,ate_dr,0,boot,2,1,50,ks
2,-6.938893903907228e-18,ate_strat,0,boot,2,1,50,ks
2,-5.858516151093465e-17,ate_ipw_2,0,all_boot,2,1,50,ks
2,0.46184474237628664,ate_regr,0,all_boot,2,1,50,ks
2,0.5381552576237132,ate_dr,0,all_boot,2,1,50,ks
2,1.3877787807814457e-17,ate_strat,0,all_boot,2,1,50,ks
2,0,ate_ipw_2,0,null,2,1,50,ks
2,2.220446049250313e-16,ate_regr,0,null,2,1,50,ks
2,2.1599435199824676e-16,ate_dr,0,null,2,1,50,ks
2,0.9999999999999992,ate_strat,0,null,2,1,50,ks
2,0.18818655262873663,ate_ipw_2,0,gn,2,1,50,ks
2,0.6213194280673358,ate_regr,0,gn,2,1,50,ks
2,0,ate_dr,0,gn,2,1,50,ks
2,0.19049401930392768,ate_strat,0,gn,2,1,50,ks
