sim,b,est,shrinkage_factor,type,run,j,n,d
1,-6.938893903907228e-18,ate_ipw_2,0,old,1,2,500,ld
1,0.12391206552486485,ate_regr,0,old,1,2,500,ld
1,0.8760879344751352,ate_dr,0,old,1,2,500,ld
1,-8.897499732788212e-18,ate_strat,0,old,1,2,500,ld
1,0,ate_ipw_2,0,boot,1,2,500,ld
1,0.1258702546837902,ate_regr,0,boot,1,2,500,ld
1,0.87412974531621,ate_dr,0,boot,1,2,500,ld
1,-3.1930910963828286e-17,ate_strat,0,boot,1,2,500,ld
1,0,ate_ipw_2,0,all_boot,1,2,500,ld
1,0.11570975736692014,ate_regr,0,all_boot,1,2,500,ld
1,0.8842902426330799,ate_dr,0,all_boot,1,2,500,ld
1,1.4290236637290886e-17,ate_strat,0,all_boot,1,2,500,ld
1,0,ate_ipw_2,0,null,1,2,500,ld
1,0,ate_regr,0,null,1,2,500,ld
1,0.9999999999999998,ate_dr,0,null,1,2,500,ld
1,2.7446274530287676e-16,ate_strat,0,null,1,2,500,ld
1,-4.112256303362517e-15,ate_ipw_2,0,gn,1,2,500,ld
1,4.440892098500626e-16,ate_regr,0,gn,1,2,500,ld
1,1.000000000000004,ate_dr,0,gn,1,2,500,ld
1,0,ate_strat,0,gn,1,2,500,ld
1,0,ate_ipw_2,0,hybrid_gn,1,2,500,ld
1,0,ate_regr,0,hybrid_gn,1,2,500,ld
1,1.0000000000000002,ate_dr,0,hybrid_gn,1,2,500,ld
1,-2.806215042223608e-16,ate_strat,0,hybrid_gn,1,2,500,ld
1,0.048143335113788474,ate_ipw_2,0,none,1,2,500,ld
1,0.2725439112505762,ate_regr,0,none,1,2,500,ld
1,0.6793127536356353,ate_dr,0,none,1,2,500,ld
1,0,ate_strat,0,none,1,2,500,ld
1,0.04814031720830897,ate_ipw_2,0,shrunk,1,2,500,ld
1,0.27254093334786916,ate_regr,0,shrunk,1,2,500,ld
1,0.6793187494438219,ate_dr,0,shrunk,1,2,500,ld
1,0,ate_strat,0,shrunk,1,2,500,ld
2,4.8936469241551555e-18,ate_ipw_2,0,old,2,2,500,ld
2,0.04317019254172241,ate_regr,0,old,2,2,500,ld
2,0.9568298074582775,ate_dr,0,old,2,2,500,ld
2,0,ate_strat,0,old,2,2,500,ld
2,0,ate_ipw_2,0,boot,2,2,500,ld
2,0.0547397787657007,ate_regr,0,boot,2,2,500,ld
2,0.9452602212342994,ate_dr,0,boot,2,2,500,ld
2,0,ate_strat,0,boot,2,2,500,ld
2,0,ate_ipw_2,0,all_boot,2,2,500,ld
2,0.043230069303830235,ate_regr,0,all_boot,2,2,500,ld
2,0.9567699306961694,ate_dr,0,all_boot,2,2,500,ld
2,0,ate_strat,0,all_boot,2,2,500,ld
2,1.2891869884655249e-17,ate_ipw_2,0,null,2,2,500,ld
2,0.0894530759679472,ate_regr,0,null,2,2,500,ld
2,0.9105469240320526,ate_dr,0,null,2,2,500,ld
2,0,ate_strat,0,null,2,2,500,ld
2,0.9999999999999991,ate_ipw_2,0,gn,2,2,500,ld
2,1.2031049250245029e-15,ate_regr,0,gn,2,2,500,ld
2,0,ate_dr,0,gn,2,2,500,ld
2,-9.973881847143793e-17,ate_strat,0,gn,2,2,500,ld
2,7.042993453267756e-18,ate_ipw_2,0,hybrid_gn,2,2,500,ld
2,0.0777324791717523,ate_regr,0,hybrid_gn,2,2,500,ld
2,0.9222675208282476,ate_dr,0,hybrid_gn,2,2,500,ld
2,0,ate_strat,0,hybrid_gn,2,2,500,ld
2,0,ate_ipw_2,0,none,2,2,500,ld
2,0.5827519460756384,ate_regr,0,none,2,2,500,ld
2,0.4172480539243617,ate_dr,0,none,2,2,500,ld
2,0,ate_strat,0,none,2,2,500,ld
2,0,ate_ipw_2,0,shrunk,2,2,500,ld
2,0.5827228123999773,ate_regr,0,shrunk,2,2,500,ld
2,0.41727718760002297,ate_dr,0,shrunk,2,2,500,ld
2,0,ate_strat,0,shrunk,2,2,500,ld
3,1.0022966059277938e-17,ate_ipw_2,0,old,3,2,500,ld
3,0.03285419578520653,ate_regr,0,old,3,2,500,ld
3,0.9671458042147933,ate_dr,0,old,3,2,500,ld
3,0,ate_strat,0,old,3,2,500,ld
3,-1.3877787807814457e-17,ate_ipw_2,0,boot,3,2,500,ld
3,0.040686008257161135,ate_regr,0,boot,3,2,500,ld
3,0.9593139917428389,ate_dr,0,boot,3,2,500,ld
3,1.3877787807814457e-17,ate_strat,0,boot,3,2,500,ld
3,0,ate_ipw_2,0,all_boot,3,2,500,ld
3,0.031636871570536115,ate_regr,0,all_boot,3,2,500,ld
3,0.968363128429464,ate_dr,0,all_boot,3,2,500,ld
3,0,ate_strat,0,all_boot,3,2,500,ld
3,0,ate_ipw_2,0,null,3,2,500,ld
3,0,ate_regr,0,null,3,2,500,ld
3,1.0000000000000004,ate_dr,0,null,3,2,500,ld
3,-5.743402558334843e-17,ate_strat,0,null,3,2,500,ld
3,4.440892098500626e-16,ate_ipw_2,0,gn,3,2,500,ld
3,-1.4562793148746324e-16,ate_regr,0,gn,3,2,500,ld
3,1,ate_dr,0,gn,3,2,500,ld
3,-1.1707126031883951e-15,ate_strat,0,gn,3,2,500,ld
3,-7.480524199384061e-17,ate_ipw_2,0,hybrid_gn,3,2,500,ld
3,0,ate_regr,0,hybrid_gn,3,2,500,ld
3,0.9999999999999999,ate_dr,0,hybrid_gn,3,2,500,ld
3,0,ate_strat,0,hybrid_gn,3,2,500,ld
3,-2.213954130345756e-19,ate_ipw_2,0,none,3,2,500,ld
3,0.23895700082216537,ate_regr,0,none,3,2,500,ld
3,0.7610429991778346,ate_dr,0,none,3,2,500,ld
3,0,ate_strat,0,none,3,2,500,ld
3,1.9137546558171556e-19,ate_ipw_2,0,shrunk,3,2,500,ld
3,0.23895100481816245,ate_regr,0,shrunk,3,2,500,ld
3,0.7610489951818376,ate_dr,0,shrunk,3,2,500,ld
3,0,ate_strat,0,shrunk,3,2,500,ld
4,1.5799833965991174e-17,ate_ipw_2,0,old,4,2,500,ld
4,0.0663733950402115,ate_regr,0,old,4,2,500,ld
4,0.9336266049597887,ate_dr,0,old,4,2,500,ld
4,-2.7755575615628914e-17,ate_strat,0,old,4,2,500,ld
4,0,ate_ipw_2,0,boot,4,2,500,ld
4,0.0691616602191148,ate_regr,0,boot,4,2,500,ld
4,0.9308383397808856,ate_dr,0,boot,4,2,500,ld
4,0,ate_strat,0,boot,4,2,500,ld
4,1.6623879181551372e-17,ate_ipw_2,0,all_boot,4,2,500,ld
4,0.0627129611400924,ate_regr,0,all_boot,4,2,500,ld
4,0.9372870388599075,ate_dr,0,all_boot,4,2,500,ld
4,0,ate_strat,0,all_boot,4,2,500,ld
4,0,ate_ipw_2,0,null,4,2,500,ld
4,0.5146374395005455,ate_regr,0,null,4,2,500,ld
4,0.3252837826716649,ate_dr,0,null,4,2,500,ld
4,0.16007877782778965,ate_strat,0,null,4,2,500,ld
4,0,ate_ipw_2,0,gn,4,2,500,ld
4,2.6220351023502963e-15,ate_regr,0,gn,4,2,500,ld
4,0.9999999999999982,ate_dr,0,gn,4,2,500,ld
4,0,ate_strat,0,gn,4,2,500,ld
4,0,ate_ipw_2,0,hybrid_gn,4,2,500,ld
4,0.5111355767623367,ate_regr,0,hybrid_gn,4,2,500,ld
4,0.33608583910476564,ate_dr,0,hybrid_gn,4,2,500,ld
4,0.15277858413289772,ate_strat,0,hybrid_gn,4,2,500,ld
4,0,ate_ipw_2,0,none,4,2,500,ld
4,0.4536986915987804,ate_regr,0,none,4,2,500,ld
4,0.5174526767745327,ate_dr,0,none,4,2,500,ld
4,0.028848631626686994,ate_strat,0,none,4,2,500,ld
4,0,ate_ipw_2,0,shrunk,4,2,500,ld
4,0.45369066991579954,ate_regr,0,shrunk,4,2,500,ld
4,0.5174767935526914,ate_dr,0,shrunk,4,2,500,ld
4,0.028832536531508884,ate_strat,0,shrunk,4,2,500,ld
5,0.06152894198857106,ate_ipw_2,0,old,5,2,500,ld
5,0.04994577805951467,ate_regr,0,old,5,2,500,ld
5,0.8885252799519143,ate_dr,0,old,5,2,500,ld
5,0,ate_strat,0,old,5,2,500,ld
5,0.05285096492031395,ate_ipw_2,0,boot,5,2,500,ld
5,0.06796589963069202,ate_regr,0,boot,5,2,500,ld
5,0.8791831354489942,ate_dr,0,boot,5,2,500,ld
5,0,ate_strat,0,boot,5,2,500,ld
5,0.054573266262491156,ate_ipw_2,0,all_boot,5,2,500,ld
5,0.04533545789796174,ate_regr,0,all_boot,5,2,500,ld
5,0.900091275839547,ate_dr,0,all_boot,5,2,500,ld
5,0,ate_strat,0,all_boot,5,2,500,ld
5,0.045475778122238616,ate_ipw_2,0,null,5,2,500,ld
5,0.08722495391144994,ate_regr,0,null,5,2,500,ld
5,0.8672992679663116,ate_dr,0,null,5,2,500,ld
5,0,ate_strat,0,null,5,2,500,ld
5,0.08177139915477549,ate_ipw_2,0,gn,5,2,500,ld
5,-1.0686059184463765e-15,ate_regr,0,gn,5,2,500,ld
5,0.9182286008452238,ate_dr,0,gn,5,2,500,ld
5,0,ate_strat,0,gn,5,2,500,ld
5,0.05134101494274901,ate_ipw_2,0,hybrid_gn,5,2,500,ld
5,0.0878061181510024,ate_regr,0,hybrid_gn,5,2,500,ld
5,0.8608528669062484,ate_dr,0,hybrid_gn,5,2,500,ld
5,0,ate_strat,0,hybrid_gn,5,2,500,ld
5,0.013408641763858791,ate_ipw_2,0,none,5,2,500,ld
5,0.46220532791412106,ate_regr,0,none,5,2,500,ld
5,0.468042725766735,ate_dr,0,none,5,2,500,ld
5,0.0563433045552852,ate_strat,0,none,5,2,500,ld
5,0.013411717710442955,ate_ipw_2,0,shrunk,5,2,500,ld
5,0.4621880145369146,ate_regr,0,shrunk,5,2,500,ld
5,0.46806539276165937,ate_dr,0,shrunk,5,2,500,ld
5,0.05633487499098306,ate_strat,0,shrunk,5,2,500,ld
6,0.03333222073702716,ate_ipw_2,0,old,6,2,500,ld
6,0.10325232590447475,ate_regr,0,old,6,2,500,ld
6,0.8634154533584981,ate_dr,0,old,6,2,500,ld
6,0,ate_strat,0,old,6,2,500,ld
6,0.029441433528673153,ate_ipw_2,0,boot,6,2,500,ld
6,0.0987512271547698,ate_regr,0,boot,6,2,500,ld
6,0.871807339316557,ate_dr,0,boot,6,2,500,ld
6,0,ate_strat,0,boot,6,2,500,ld
6,0.029319355905357777,ate_ipw_2,0,all_boot,6,2,500,ld
6,0.10116265414264342,ate_regr,0,all_boot,6,2,500,ld
6,0.8695179899519988,ate_dr,0,all_boot,6,2,500,ld
6,0,ate_strat,0,all_boot,6,2,500,ld
6,0.011288013979569803,ate_ipw_2,0,null,6,2,500,ld
6,0.42287395965779984,ate_regr,0,null,6,2,500,ld
6,0.5542004448859041,ate_dr,0,null,6,2,500,ld
6,0.011637581476726081,ate_strat,0,null,6,2,500,ld
6,0.6214151415103603,ate_ipw_2,0,gn,6,2,500,ld
6,-4.903484837646683e-16,ate_regr,0,gn,6,2,500,ld
6,0.3785848584896421,ate_dr,0,gn,6,2,500,ld
6,0,ate_strat,0,gn,6,2,500,ld
6,0.010707731620495594,ate_ipw_2,0,hybrid_gn,6,2,500,ld
6,0.41466402262902025,ate_regr,0,hybrid_gn,6,2,500,ld
6,0.5639940951635395,ate_dr,0,hybrid_gn,6,2,500,ld
6,0.010634150586944635,ate_strat,0,hybrid_gn,6,2,500,ld
6,-3.469446951953614e-18,ate_ipw_2,0,none,6,2,500,ld
6,0.56363039803714,ate_regr,0,none,6,2,500,ld
6,0.330285117448326,ate_dr,0,none,6,2,500,ld
6,0.10608448451453399,ate_strat,0,none,6,2,500,ld
6,3.469446951953614e-18,ate_ipw_2,0,shrunk,6,2,500,ld
6,0.5636183022867682,ate_regr,0,shrunk,6,2,500,ld
6,0.33030073258491205,ate_dr,0,shrunk,6,2,500,ld
