sim,ate,type,run,j,n,d
1,40.10770041250688,old,1,1,50,ks
1,40.10714604601935,boot,1,1,50,ks
1,40.10723315566045,all_boot,1,1,50,ks
1,41.37024095936377,null,1,1,50,ks
1,40.113149296357,gn,1,1,50,ks
1,41.37024095936377,hybrid_gn,1,1,50,ks
2,40.127945167832564,old,2,1,50,ks
2,40.12629692486147,boot,2,1,50,ks
2,40.13144195469364,all_boot,2,1,50,ks
2,32.72083724957982,null,2,1,50,ks
2,37.184407163503984,gn,2,1,50,ks
2,32.72083724957982,hybrid_gn,2,1,50,ks
3,40.212285072518895,old,3,1,50,ks
3,40.212315898799176,boot,3,1,50,ks
3,40.21233514965537,all_boot,3,1,50,ks
3,41.09703580568151,null,3,1,50,ks
3,40.37318288616434,gn,3,1,50,ks
3,41.09703580568151,hybrid_gn,3,1,50,ks
4,40.02559415960729,old,4,1,50,ks
4,40.01005561703555,boot,4,1,50,ks
4,40.02259692000503,all_boot,4,1,50,ks
4,34.889460776215515,null,4,1,50,ks
4,37.62497810233489,gn,4,1,50,ks
4,34.889460776215515,hybrid_gn,4,1,50,ks
5,40.03219891817527,old,5,1,50,ks
5,40.01272663659726,boot,5,1,50,ks
5,40.02150066043292,all_boot,5,1,50,ks
5,28.660967103091732,null,5,1,50,ks
5,38.244729418711856,gn,5,1,50,ks
5,28.660967103091732,hybrid_gn,5,1,50,ks
6,39.780016464930306,old,6,1,50,ks
6,39.80109973932919,boot,6,1,50,ks
6,39.765543991038086,all_boot,6,1,50,ks
6,22.32808974113374,null,6,1,50,ks
6,33.458990721946265,gn,6,1,50,ks
6,22.32808974113374,hybrid_gn,6,1,50,ks
7,40.16794127277808,old,7,1,50,ks
7,40.168123892978095,boot,7,1,50,ks
7,40.168080359170204,all_boot,7,1,50,ks
7,38.654849211477426,null,7,1,50,ks
7,40.007761091347106,gn,7,1,50,ks
7,38.654849211477426,hybrid_gn,7,1,50,ks
8,40.15568150375529,old,8,1,50,ks
8,40.14447458916394,boot,8,1,50,ks
8,40.16016868101384,all_boot,8,1,50,ks
8,29.769005374377564,null,8,1,50,ks
8,35.63894765693689,gn,8,1,50,ks
8,29.769005374377564,hybrid_gn,8,1,50,ks
9,40.377810731230454,old,9,1,50,ks
9,40.36202949909824,boot,9,1,50,ks
9,40.370338519471275,all_boot,9,1,50,ks
9,29.246386906313052,null,9,1,50,ks
9,35.729019268875476,gn,9,1,50,ks
9,29.246386906313052,hybrid_gn,9,1,50,ks
10,39.80940215064533,old,10,1,50,ks
10,39.821273752031495,boot,10,1,50,ks
10,39.77262432124312,all_boot,10,1,50,ks
10,34.567728621935935,null,10,1,50,ks
10,39.25141457943172,gn,10,1,50,ks
10,34.567728621935935,hybrid_gn,10,1,50,ks
11,37.4671793555708,old,1,2,50,ks
11,37.416000666882994,boot,1,2,50,ks
11,37.511087875342646,all_boot,1,2,50,ks
11,35.80306165474979,null,1,2,50,ks
11,36.23239847083987,gn,1,2,50,ks
11,35.80306165474979,hybrid_gn,1,2,50,ks
12,39.240725012259745,old,2,2,50,ks
12,39.21116280236804,boot,2,2,50,ks
12,39.28241640222092,all_boot,2,2,50,ks
12,32.7208372495803,null,2,2,50,ks
12,35.28167948051909,gn,2,2,50,ks
12,32.7208372495803,hybrid_gn,2,2,50,ks
13,37.14262705935227,old,3,2,50,ks
13,37.08620110475607,boot,3,2,50,ks
13,37.07601696373318,all_boot,3,2,50,ks
13,40.88871545486674,null,3,2,50,ks
13,36.95099444136275,gn,3,2,50,ks
13,40.88871545486674,hybrid_gn,3,2,50,ks
14,39.365381519951455,old,4,2,50,ks
14,39.11228017422518,boot,4,2,50,ks
14,39.36629945532976,all_boot,4,2,50,ks
14,34.889460776216076,null,4,2,50,ks
14,36.99301669822536,gn,4,2,50,ks
14,34.889460776216076,hybrid_gn,4,2,50,ks
15,39.33211490066936,old,5,2,50,ks
15,38.944195432680495,boot,5,2,50,ks
15,39.26866465043559,all_boot,5,2,50,ks
15,29.26793281593444,null,5,2,50,ks
15,31.621868973494934,gn,5,2,50,ks
15,29.26793281593444,hybrid_gn,5,2,50,ks
16,38.010073222231604,old,6,2,50,ks
16,38.02048251154206,boot,6,2,50,ks
16,38.15188114170955,all_boot,6,2,50,ks
16,22.32808974113394,null,6,2,50,ks
16,33.0843191329279,gn,6,2,50,ks
16,22.32808974113394,hybrid_gn,6,2,50,ks
17,38.26892522201653,old,7,2,50,ks
17,38.40583953236722,boot,7,2,50,ks
17,38.7411634823867,all_boot,7,2,50,ks
17,30.202781056107334,null,7,2,50,ks
17,30.76009289624529,gn,7,2,50,ks
17,30.202781056107334,hybrid_gn,7,2,50,ks
18,36.70096523556513,old,8,2,50,ks
18,36.43521252105949,boot,8,2,50,ks
18,36.72934643446268,all_boot,8,2,50,ks
18,29.769005374377496,null,8,2,50,ks
18,30.640749882484183,gn,8,2,50,ks
18,29.769005374377496,hybrid_gn,8,2,50,ks
19,39.752593050574674,old,9,2,50,ks
19,39.68117987549165,boot,9,2,50,ks
19,39.696917075542096,all_boot,9,2,50,ks
19,29.897319911411955,null,9,2,50,ks
19,32.30338998412921,gn,9,2,50,ks
19,29.897319911411955,hybrid_gn,9,2,50,ks
20,37.60689492703719,old,10,2,50,ks
20,37.58531430126657,boot,10,2,50,ks
20,37.77989613613833,all_boot,10,2,50,ks
20,34.567728621936126,null,10,2,50,ks
20,34.34536444778363,gn,10,2,50,ks
20,34.567728621936126,hybrid_gn,10,2,50,ks
21,40.108310871444864,old,1,3,50,ks
21,40.104701582275034,boot,1,3,50,ks
21,40.10611799087172,all_boot,1,3,50,ks
21,35.205469324817464,null,1,3,50,ks
21,39.38585192858804,gn,1,3,50,ks
21,35.205469324817464,hybrid_gn,1,3,50,ks
22,40.100437461886564,old,2,3,50,ks
22,40.10540653773476,boot,2,3,50,ks
22,40.11978440431828,all_boot,2,3,50,ks
22,33.03458981042967,null,2,3,50,ks
22,35.0522044500839,gn,2,3,50,ks
22,33.03458981042967,hybrid_gn,2,3,50,ks
23,40.193569651447476,old,3,3,50,ks
23,40.194688057798665,boot,3,3,50,ks
23,40.17943615115001,all_boot,3,3,50,ks
23,30.912124528395143,null,3,3,50,ks
23,38.26371042489402,gn,3,3,50,ks
23,30.912124528395143,hybrid_gn,3,3,50,ks
24,40.026706936127354,old,4,3,50,ks
24,40.02404526457511,boot,4,3,50,ks
24,40.03127619895626,all_boot,4,3,50,ks
24,38.416220918391566,null,4,3,50,ks
24,39.16867855166551,gn,4,3,50,ks
24,38.416220918391566,hybrid_gn,4,3,50,ks
25,40.046208359018884,old,5,3,50,ks
25,40.04325140330005,boot,5,3,50,ks
25,40.04498470389717,all_boot,5,3,50,ks
25,24.33052340846721,null,5,3,50,ks
25,35.57145766542091,gn,5,3,50,ks
25,24.33052340846721,hybrid_gn,5,3,50,ks
26,39.759495879212835,old,6,3,50,ks
26,39.782692165141434,boot,6,3,50,ks
26,39.76660561003495,all_boot,6,3,50,ks
26,24.258890939615487,null,6,3,50,ks
26,30.846961941325592,gn,6,3,50,ks
26,24.258890939615487,hybrid_gn,6,3,50,ks
27,40.17714898405856,old,7,3,50,ks
27,40.17741096553907,boot,7,3,50,ks
27,40.17554230881147,all_boot,7,3,50,ks
27,22.779317144322516,null,7,3,50,ks
27,30.88338630727621,gn,7,3,50,ks
27,22.779317144322516,hybrid_gn,7,3,50,ks
28,40.15843334715185,old,8,3,50,ks
28,40.13825148743635,boot,8,3,50,ks
28,40.161398666454154,all_boot,8,3,50,ks
28,20.562333677648223,null,8,3,50,ks
28,24.728520083717726,gn,8,3,50,ks
28,20.562333677648223,hybrid_gn,8,3,50,ks
29,40.378641516018895,old,9,3,50,ks
29,40.33651545634996,boot,9,3,50,ks
29,40.380586352940405,all_boot,9,3,50,ks
29,27.195031692885276,null,9,3,50,ks
29,34.513184963138684,gn,9,3,50,ks
29,27.195031692885276,hybrid_gn,9,3,50,ks
30,39.993518500976315,old,10,3,50,ks
30,40.005404755127394,boot,10,3,50,ks
30,39.988123773516904,all_boot,10,3,50,ks
30,34.75207185596322,null,10,3,50,ks
30,36.256447065779824,gn,10,3,50,ks
30,34.75207185596322,hybrid_gn,10,3,50,ks
31,35.824870943325415,old,1,4,50,ks
31,35.82639319191434,boot,1,4,50,ks
31,35.82568605862801,all_boot,1,4,50,ks
31,35.20546932481699,null,1,4,50,ks
31,35.803061654749754,gn,1,4,50,ks
31,35.20546932481699,hybrid_gn,1,4,50,ks
32,38.57669467386032,old,2,4,50,ks
32,38.54792190700722,boot,2,4,50,ks
32,38.66296491976418,all_boot,2,4,50,ks
32,33.03458981042989,null,2,4,50,ks
32,34.10330362841664,gn,2,4,50,ks
32,33.03458981042989,hybrid_gn,2,4,50,ks
33,36.5592213074567,old,3,4,50,ks
33,36.624531712819,boot,3,4,50,ks
33,36.55883882355819,all_boot,3,4,50,ks
33,30.91212452839517,null,3,4,50,ks
33,36.10959848969565,gn,3,4,50,ks
33,30.91212452839517,hybrid_gn,3,4,50,ks
34,37.94720699666934,old,4,4,50,ks
34,37.967606022194246,boot,4,4,50,ks
34,37.970543136797154,all_boot,4,4,50,ks
34,38.41622091839144,null,4,4,50,ks
34,38.389597181415425,gn,4,4,50,ks
34,38.41622091839144,hybrid_gn,4,4,50,ks
35,32.51197983725942,old,5,4,50,ks
35,32.43128508113175,boot,5,4,50,ks
35,32.63285643089135,all_boot,5,4,50,ks
35,24.330523408467304,null,5,4,50,ks
35,30.273452316552834,gn,5,4,50,ks
35,24.330523408467304,hybrid_gn,5,4,50,ks
36,38.201027014502046,old,6,4,50,ks
36,38.246465284299475,boot,6,4,50,ks
36,37.989707916129504,all_boot,6,4,50,ks
36,24.25889093961544,null,6,4,50,ks
36,31.604496398438542,gn,6,4,50,ks
36,24.25889093961544,hybrid_gn,6,4,50,ks
37,30.479466205687462,old,7,4,50,ks
37,30.161163966085265,boot,7,4,50,ks
37,30.526537519163902,all_boot,7,4,50,ks
37,22.779317144322743,null,7,4,50,ks
37,28.60897346081391,gn,7,4,50,ks
37,22.779317144322743,hybrid_gn,7,4,50,ks
38,32.372297016712714,old,8,4,50,ks
38,32.1921333192447,boot,8,4,50,ks
38,32.397131317470404,all_boot,8,4,50,ks
38,20.562333677649082,null,8,4,50,ks
38,25.534009291315297,gn,8,4,50,ks
38,20.562333677649082,hybrid_gn,8,4,50,ks
39,35.472633560214554,old,9,4,50,ks
39,35.26517161698935,boot,9,4,50,ks
39,35.37667802337367,all_boot,9,4,50,ks
39,27.1950316928847,null,9,4,50,ks
39,31.55907030322566,gn,9,4,50,ks
39,27.1950316928847,hybrid_gn,9,4,50,ks
40,36.52046842350734,old,10,4,50,ks
40,36.72842009466002,boot,10,4,50,ks
40,36.57739987912835,all_boot,10,4,50,ks
40,34.752071855963486,null,10,4,50,ks
40,33.71421551826413,gn,10,4,50,ks
40,34.752071855963486,hybrid_gn,10,4,50,ks
41,39.95921420126233,old,1,1,100,ks
41,39.94984794487836,boot,1,1,100,ks
41,39.96052698412351,all_boot,1,1,100,ks
41,39.68820098956484,null,1,1,100,ks
41,40.00006275608965,gn,1,1,100,ks
41,39.68820098956484,hybrid_gn,1,1,100,ks
42,40.0729516946717,old,2,1,100,ks
42,40.07984442442417,boot,2,1,100,ks
42,40.07838499477632,all_boot,2,1,100,ks
42,31.073548479706098,null,2,1,100,ks
42,38.990600351820106,gn,2,1,100,ks
42,31.073548479706098,hybrid_gn,2,1,100,ks
43,39.96323153084267,old,3,1,100,ks
43,39.96605467787369,boot,3,1,100,ks
43,39.963456113598546,all_boot,3,1,100,ks
43,39.896845128962546,null,3,1,100,ks
43,40.55105508565441,gn,3,1,100,ks
43,39.896845128962546,hybrid_gn,3,1,100,ks
44,39.74593949149363,old,4,1,100,ks
44,39.76091030220515,boot,4,1,100,ks
44,39.745691609440705,all_boot,4,1,100,ks
44,38.250014275702895,null,4,1,100,ks
44,38.264752265797995,gn,4,1,100,ks
