sim,ate,type,run,j,n,d
1,40.10770041250688,old,1,1,50,ks
1,40.10714604601935,boot,1,1,50,ks
1,40.10723315566045,all_boot,1,1,50,ks
1,41.37024095936377,null,1,1,50,ks
1,40.113149296357,gn,1,1,50,ks
1,41.37024095936377,hybrid_gn,1,1,50,ks
2,40.127945167832564,old,2,1,50,ks
2,40.12629692486147,boot,2,1,50,ks
2,40.13144195469364,all_boot,2,1,50,ks
2,32.72083724957982,null,2,1,50,ks
2,37.180809254792315,gn,2,1,50,ks
2,32.72083724957982,hybrid_gn,2,1,50,ks
3,40.212285072518895,old,3,1,50,ks
3,40.212315898799176,boot,3,1,50,ks
3,40.21233514965537,all_boot,3,1,50,ks
3,41.09703580568151,null,3,1,50,ks
3,40.37318288616434,gn,3,1,50,ks
3,41.09703580568151,hybrid_gn,3,1,50,ks
4,40.02559415960729,old,4,1,50,ks
4,40.01005561703555,boot,4,1,50,ks
4,40.02259692000503,all_boot,4,1,50,ks
4,34.889460776215515,null,4,1,50,ks
4,37.62945704355369,gn,4,1,50,ks
4,34.889460776215515,hybrid_gn,4,1,50,ks
5,40.03219891817527,old,5,1,50,ks
5,40.01272663659726,boot,5,1,50,ks
5,40.02150066043292,all_boot,5,1,50,ks
5,28.660967103091732,null,5,1,50,ks
5,38.250059765592,gn,5,1,50,ks
5,28.660967103091732,hybrid_gn,5,1,50,ks
6,39.780016464930306,old,6,1,50,ks
6,39.80109973932919,boot,6,1,50,ks
6,39.765543991038086,all_boot,6,1,50,ks
6,22.32808974113374,null,6,1,50,ks
6,33.46979619667679,gn,6,1,50,ks
6,22.32808974113374,hybrid_gn,6,1,50,ks
7,40.16794127277808,old,7,1,50,ks
7,40.168123892978095,boot,7,1,50,ks
7,40.168080359170204,all_boot,7,1,50,ks
7,38.654849211477426,null,7,1,50,ks
7,40.00966599407196,gn,7,1,50,ks
7,38.654849211477426,hybrid_gn,7,1,50,ks
8,40.15568150375529,old,8,1,50,ks
8,40.14447458916394,boot,8,1,50,ks
8,40.16016868101384,all_boot,8,1,50,ks
8,29.769005374377564,null,8,1,50,ks
8,35.62378662440587,gn,8,1,50,ks
8,29.769005374377564,hybrid_gn,8,1,50,ks
9,40.377810731230454,old,9,1,50,ks
9,40.36202949909824,boot,9,1,50,ks
9,40.370338519471275,all_boot,9,1,50,ks
9,29.246386906313052,null,9,1,50,ks
9,35.73580092969968,gn,9,1,50,ks
9,29.246386906313052,hybrid_gn,9,1,50,ks
10,39.80940215064533,old,10,1,50,ks
10,39.821273752031495,boot,10,1,50,ks
10,39.77262432124312,all_boot,10,1,50,ks
10,34.567728621935935,null,10,1,50,ks
10,39.25141457943172,gn,10,1,50,ks
10,34.567728621935935,hybrid_gn,10,1,50,ks
11,40.6930519189746,old,11,1,50,ks
11,40.68779202886342,boot,11,1,50,ks
11,40.685168266178664,all_boot,11,1,50,ks
11,38.72363323853862,null,11,1,50,ks
11,40.56798318111703,gn,11,1,50,ks
11,38.72363323853862,hybrid_gn,11,1,50,ks
12,40.4555724712639,old,12,1,50,ks
12,40.44917986852124,boot,12,1,50,ks
12,40.436375136544726,all_boot,12,1,50,ks
12,40.35028318245131,null,12,1,50,ks
12,41.04673320797923,gn,12,1,50,ks
12,40.35028318245131,hybrid_gn,12,1,50,ks
13,39.62948718327823,old,13,1,50,ks
13,39.62961367079669,boot,13,1,50,ks
13,39.628278749807244,all_boot,13,1,50,ks
13,31.107276967173554,null,13,1,50,ks
13,36.24391638002973,gn,13,1,50,ks
13,31.107276967173554,hybrid_gn,13,1,50,ks
14,40.23635432925659,old,14,1,50,ks
14,40.236903996128255,boot,14,1,50,ks
14,40.23717083006559,all_boot,14,1,50,ks
14,37.60478854495526,null,14,1,50,ks
14,40.23544252197534,gn,14,1,50,ks
14,37.60478854495526,hybrid_gn,14,1,50,ks
15,40.567172692162984,old,15,1,50,ks
15,40.564184833789625,boot,15,1,50,ks
15,40.56431362416798,all_boot,15,1,50,ks
15,29.008606541929403,null,15,1,50,ks
15,37.66039218801304,gn,15,1,50,ks
15,29.008606541929403,hybrid_gn,15,1,50,ks
16,40.113592440208414,old,16,1,50,ks
16,40.115224993054845,boot,16,1,50,ks
16,40.115499629344136,all_boot,16,1,50,ks
16,40.52797236199517,null,16,1,50,ks
16,40.23351062414045,gn,16,1,50,ks
16,40.52797236199517,hybrid_gn,16,1,50,ks
17,39.78657357848478,old,17,1,50,ks
17,39.78661697807134,boot,17,1,50,ks
17,39.78661607573424,all_boot,17,1,50,ks
17,39.048975865177546,null,17,1,50,ks
17,39.6456540315089,gn,17,1,50,ks
17,39.048975865177546,hybrid_gn,17,1,50,ks
18,40.23047481376127,old,18,1,50,ks
18,40.231308188093095,boot,18,1,50,ks
18,40.22874044727678,all_boot,18,1,50,ks
18,41.05042435181195,null,18,1,50,ks
18,40.400226793719916,gn,18,1,50,ks
18,41.05042435181195,hybrid_gn,18,1,50,ks
19,40.00959908073213,old,19,1,50,ks
19,40.0087290892741,boot,19,1,50,ks
19,40.03303693894678,all_boot,19,1,50,ks
19,31.308239936205585,null,19,1,50,ks
19,37.52410383262518,gn,19,1,50,ks
19,31.308239936205585,hybrid_gn,19,1,50,ks
20,39.60236783942013,old,20,1,50,ks
20,39.60380180724332,boot,20,1,50,ks
20,39.60310903323562,all_boot,20,1,50,ks
20,32.95429664892795,null,20,1,50,ks
20,33.3140585698424,gn,20,1,50,ks
20,32.95429664892795,hybrid_gn,20,1,50,ks
21,39.78068338056673,old,21,1,50,ks
21,39.78053276003793,boot,21,1,50,ks
21,39.763501379031794,all_boot,21,1,50,ks
21,33.499591575499025,null,21,1,50,ks
21,37.87029649538956,gn,21,1,50,ks
21,33.499591575499025,hybrid_gn,21,1,50,ks
22,40.27256132407085,old,22,1,50,ks
22,40.272807390642214,boot,22,1,50,ks
22,40.2725425776812,all_boot,22,1,50,ks
22,41.696354029335254,null,22,1,50,ks
22,40.48958384016401,gn,22,1,50,ks
22,41.696354029335254,hybrid_gn,22,1,50,ks
23,39.88190119756671,old,23,1,50,ks
23,39.88200428540919,boot,23,1,50,ks
23,39.8818236800595,all_boot,23,1,50,ks
23,43.64156892423538,null,23,1,50,ks
23,41.13008381870833,gn,23,1,50,ks
23,43.64156892423538,hybrid_gn,23,1,50,ks
24,40.354490366346994,old,24,1,50,ks
24,40.353886015590874,boot,24,1,50,ks
24,40.36691172971062,all_boot,24,1,50,ks
24,25.34034175319779,null,24,1,50,ks
24,37.11525668755881,gn,24,1,50,ks
24,25.34034175319779,hybrid_gn,24,1,50,ks
25,39.72205870616494,old,25,1,50,ks
25,39.71720649480164,boot,25,1,50,ks
25,39.71943678844448,all_boot,25,1,50,ks
25,39.51934342636662,null,25,1,50,ks
25,39.44092932105761,gn,25,1,50,ks
25,39.51934342636662,hybrid_gn,25,1,50,ks
26,40.56683540453376,old,26,1,50,ks
26,40.56745514370907,boot,26,1,50,ks
26,40.56668907405986,all_boot,26,1,50,ks
26,38.83858398522135,null,26,1,50,ks
26,41.08999258254262,gn,26,1,50,ks
26,38.83858398522135,hybrid_gn,26,1,50,ks
27,40.25440047627905,old,27,1,50,ks
27,40.25412596401927,boot,27,1,50,ks
27,40.20762208259875,all_boot,27,1,50,ks
27,37.923920649044184,null,27,1,50,ks
27,39.19988521001078,gn,27,1,50,ks
27,37.923920649044184,hybrid_gn,27,1,50,ks
28,39.73446755383512,old,28,1,50,ks
28,39.73489358277173,boot,28,1,50,ks
28,39.735015956052145,all_boot,28,1,50,ks
28,32.6154910143866,null,28,1,50,ks
28,39.061251009997534,gn,28,1,50,ks
28,32.6154910143866,hybrid_gn,28,1,50,ks
29,39.585245149186385,old,29,1,50,ks
29,39.57285033873977,boot,29,1,50,ks
29,39.57497815398184,all_boot,29,1,50,ks
29,43.56513099925664,null,29,1,50,ks
29,40.48392272172641,gn,29,1,50,ks
29,43.56513099925664,hybrid_gn,29,1,50,ks
30,40.180275636068664,old,30,1,50,ks
30,40.17813505385344,boot,30,1,50,ks
30,40.17842374433656,all_boot,30,1,50,ks
30,40.09626091284367,null,30,1,50,ks
30,40.22892758323689,gn,30,1,50,ks
30,40.09626091284367,hybrid_gn,30,1,50,ks
31,39.673019250665384,old,31,1,50,ks
31,39.673347760118716,boot,31,1,50,ks
31,39.67641520297621,all_boot,31,1,50,ks
31,33.54382289518648,null,31,1,50,ks
31,38.36134153578648,gn,31,1,50,ks
31,33.54382289518648,hybrid_gn,31,1,50,ks
32,39.69773525604484,old,32,1,50,ks
32,39.687331359039526,boot,32,1,50,ks
32,39.696161150229614,all_boot,32,1,50,ks
32,36.008129971956684,null,32,1,50,ks
32,39.331705860761794,gn,32,1,50,ks
32,36.008129971956684,hybrid_gn,32,1,50,ks
33,40.45089286829659,old,33,1,50,ks
33,40.43804110310911,boot,33,1,50,ks
33,40.43079911913083,all_boot,33,1,50,ks
33,42.23363390401765,null,33,1,50,ks
33,40.4578825340278,gn,33,1,50,ks
33,42.23363390401765,hybrid_gn,33,1,50,ks
34,39.406608828283964,old,34,1,50,ks
34,39.406608828283964,boot,34,1,50,ks
34,39.40660882828398,all_boot,34,1,50,ks
34,36.75190718392377,null,34,1,50,ks
34,39.41631881904927,gn,34,1,50,ks
34,36.75190718392377,hybrid_gn,34,1,50,ks
35,39.33746159086637,old,35,1,50,ks
35,39.33935789073499,boot,35,1,50,ks
35,39.34340804045656,all_boot,35,1,50,ks
35,27.789899978818074,null,35,1,50,ks
35,38.27315822756351,gn,35,1,50,ks
35,27.789899978818074,hybrid_gn,35,1,50,ks
36,39.94294902365356,old,36,1,50,ks
36,39.93874457284514,boot,36,1,50,ks
36,39.94504698073057,all_boot,36,1,50,ks
36,31.79342983564984,null,36,1,50,ks
36,37.068086257155606,gn,36,1,50,ks
36,31.79342983564984,hybrid_gn,36,1,50,ks
37,39.9282549578415,old,37,1,50,ks
37,40.01601718050078,boot,37,1,50,ks
37,40.00422743259932,all_boot,37,1,50,ks
37,42.29409636750594,null,37,1,50,ks
37,40.52090595028854,gn,37,1,50,ks
37,42.29409636750594,hybrid_gn,37,1,50,ks
38,40.026922984120574,old,38,1,50,ks
38,40.03557121064314,boot,38,1,50,ks
38,40.0321800557933,all_boot,38,1,50,ks
38,40.81111889371188,null,38,1,50,ks
38,39.9785661970302,gn,38,1,50,ks
38,40.81111889371188,hybrid_gn,38,1,50,ks
39,39.9350317644391,old,39,1,50,ks
39,39.935870829736444,boot,39,1,50,ks
39,39.935639840968335,all_boot,39,1,50,ks
39,36.81185878001145,null,39,1,50,ks
39,38.89431386905102,gn,39,1,50,ks
39,36.81185878001145,hybrid_gn,39,1,50,ks
40,40.07562074046207,old,40,1,50,ks
40,40.07791481636437,boot,40,1,50,ks
40,40.08494149120926,all_boot,40,1,50,ks
40,35.98084228320925,null,40,1,50,ks
40,39.30281471559661,gn,40,1,50,ks
40,35.98084228320925,hybrid_gn,40,1,50,ks
41,40.027575964811334,old,41,1,50,ks
41,40.03934416928305,boot,41,1,50,ks
41,40.03821684972927,all_boot,41,1,50,ks
41,41.91422570532436,null,41,1,50,ks
41,40.08365615754646,gn,41,1,50,ks
41,41.91422570532436,hybrid_gn,41,1,50,ks
42,40.164288670456564,old,42,1,50,ks
42,40.1557990576194,boot,42,1,50,ks
42,40.140497205166334,all_boot,42,1,50,ks
42,34.55479017103689,null,42,1,50,ks
42,38.073263231036016,gn,42,1,50,ks
42,34.55479017103689,hybrid_gn,42,1,50,ks
43,40.24621204995323,old,43,1,50,ks
43,40.25020828147707,boot,43,1,50,ks
43,40.25023035886061,all_boot,43,1,50,ks
43,44.700352253523754,null,43,1,50,ks
43,41.51819154381912,gn,43,1,50,ks
43,44.700352253523754,hybrid_gn,43,1,50,ks
44,40.2218451620016,old,44,1,50,ks
44,40.23112840463053,boot,44,1,50,ks
44,40.20668311326853,all_boot,44,1,50,ks
44,20.80534412360201,null,44,1,50,ks
44,35.19115093560926,gn,44,1,50,ks
