sim,ate,type,true_ate,run,j,n,d
1,1.9059895939135891,old,2,1,1,500,ld
1,1.9061405678568244,boot,2,1,1,500,ld
1,1.9020534683073438,all_boot,2,1,1,500,ld
1,2.024605377131707,null,2,1,1,500,ld
1,1.9050521595786998,gn,2,1,1,500,ld
1,2.031400852794965,hybrid_gn,2,1,1,500,ld
1,1.9246164126182403,none,2,1,1,500,ld
1,1.924614857775115,shrunk,2,1,1,500,ld
2,2.130869228648106,old,2,2,1,500,ld
2,2.127208195710872,boot,2,2,1,500,ld
2,2.1293296966612036,all_boot,2,2,1,500,ld
2,2.0720709219178493,null,2,2,1,500,ld
2,2.183410819827871,gn,2,2,1,500,ld
2,2.073535418843637,hybrid_gn,2,2,1,500,ld
2,2.1113992607774863,none,2,2,1,500,ld
2,2.1113992607774867,shrunk,2,2,1,500,ld
3,1.884486744757998,old,2,3,1,500,ld
3,1.8819820231110442,boot,2,3,1,500,ld
3,1.8844803916895776,all_boot,2,3,1,500,ld
3,1.824594196869567,null,2,3,1,500,ld
3,1.8886214396463925,gn,2,3,1,500,ld
3,1.8452984153842578,hybrid_gn,2,3,1,500,ld
3,1.8757998616372322,none,2,3,1,500,ld
3,1.8757999966182457,shrunk,2,3,1,500,ld
4,1.9923941589146934,old,2,4,1,500,ld
4,1.9927275080148985,boot,2,4,1,500,ld
4,1.9927648172251593,all_boot,2,4,1,500,ld
4,1.7741860434894783,null,2,4,1,500,ld
4,2.018493344453611,gn,2,4,1,500,ld
4,1.7789299897224415,hybrid_gn,2,4,1,500,ld
4,1.964002726522637,none,2,4,1,500,ld
4,1.9640029636273484,shrunk,2,4,1,500,ld
5,1.9840979829678407,old,2,5,1,500,ld
5,1.9771597952212425,boot,2,5,1,500,ld
5,1.9847696080615187,all_boot,2,5,1,500,ld
5,1.9845367272082977,null,2,5,1,500,ld
5,2.0848675294254644,gn,2,5,1,500,ld
5,1.9777897946938412,hybrid_gn,2,5,1,500,ld
5,2.0675163157552987,none,2,5,1,500,ld
5,2.0675125594515795,shrunk,2,5,1,500,ld
6,1.9434507864444404,old,2,6,1,500,ld
6,1.943851243222718,boot,2,6,1,500,ld
6,1.9424872538978222,all_boot,2,6,1,500,ld
6,1.84515069371755,null,2,6,1,500,ld
6,2.11322060843489,gn,2,6,1,500,ld
6,1.8517925053868969,hybrid_gn,2,6,1,500,ld
6,1.937266267406016,none,2,6,1,500,ld
6,1.9372663459919273,shrunk,2,6,1,500,ld
7,1.9630359385892644,old,2,7,1,500,ld
7,1.9692265897599401,boot,2,7,1,500,ld
7,1.9663695358264497,all_boot,2,7,1,500,ld
7,1.94227662362636,null,2,7,1,500,ld
7,1.959839691072526,gn,2,7,1,500,ld
7,1.9432734680384856,hybrid_gn,2,7,1,500,ld
7,1.9916298204907184,none,2,7,1,500,ld
7,1.991628682943423,shrunk,2,7,1,500,ld
8,2.1302724891009532,old,2,8,1,500,ld
8,2.1302724891009537,boot,2,8,1,500,ld
8,2.125674159501728,all_boot,2,8,1,500,ld
8,2.1017375391923756,null,2,8,1,500,ld
8,2.128855188434001,gn,2,8,1,500,ld
8,2.0989912451913155,hybrid_gn,2,8,1,500,ld
8,2.1302724891009532,none,2,8,1,500,ld
8,2.1302724891009537,shrunk,2,8,1,500,ld
9,1.8351788289834015,old,2,9,1,500,ld
9,1.8351100800401894,boot,2,9,1,500,ld
9,1.8352442875889912,all_boot,2,9,1,500,ld
9,1.7994691168590369,null,2,9,1,500,ld
9,1.8408014605954517,gn,2,9,1,500,ld
9,1.7904426333214214,hybrid_gn,2,9,1,500,ld
9,1.8249489124658849,none,2,9,1,500,ld
9,1.8249495648116774,shrunk,2,9,1,500,ld
10,1.8529756975098002,old,2,10,1,500,ld
10,1.8533965440828386,boot,2,10,1,500,ld
