sim,type,true_ate,run,j,n,d
1,raw,-0.4,1,1,500,ls
1,raw,-0.4,1,1,500,ls
1,raw,-0.4,1,1,500,ls
1,raw,-0.4,1,1,500,ls
1,old,-0.4,1,1,500,ls
1,boot,-0.4,1,1,500,ls
1,all_boot,-0.4,1,1,500,ls
1,null,-0.4,1,1,500,ls
1,gn,-0.4,1,1,500,ls
1,hybrid_gn,-0.4,1,1,500,ls
1,none,-0.4,1,1,500,ls
1,shrunk,-0.4,1,1,500,ls
2,raw,-0.4,2,1,500,ls
2,raw,-0.4,2,1,500,ls
2,raw,-0.4,2,1,500,ls
2,raw,-0.4,2,1,500,ls
2,old,-0.4,2,1,500,ls
2,boot,-0.4,2,1,500,ls
2,all_boot,-0.4,2,1,500,ls
2,null,-0.4,2,1,500,ls
2,gn,-0.4,2,1,500,ls
2,hybrid_gn,-0.4,2,1,500,ls
2,none,-0.4,2,1,500,ls
2,shrunk,-0.4,2,1,500,ls
3,raw,-0.4,3,1,500,ls
3,raw,-0.4,3,1,500,ls
3,raw,-0.4,3,1,500,ls
3,raw,-0.4,3,1,500,ls
3,old,-0.4,3,1,500,ls
3,boot,-0.4,3,1,500,ls
3,all_boot,-0.4,3,1,500,ls
3,null,-0.4,3,1,500,ls
3,gn,-0.4,3,1,500,ls
3,hybrid_gn,-0.4,3,1,500,ls
3,none,-0.4,3,1,500,ls
3,shrunk,-0.4,3,1,500,ls
4,raw,-0.4,4,1,500,ls
4,raw,-0.4,4,1,500,ls
4,raw,-0.4,4,1,500,ls
4,raw,-0.4,4,1,500,ls
4,old,-0.4,4,1,500,ls
4,boot,-0.4,4,1,500,ls
4,all_boot,-0.4,4,1,500,ls
4,null,-0.4,4,1,500,ls
4,gn,-0.4,4,1,500,ls
4,hybrid_gn,-0.4,4,1,500,ls
4,none,-0.4,4,1,500,ls
4,shrunk,-0.4,4,1,500,ls
5,raw,-0.4,5,1,500,ls
5,raw,-0.4,5,1,500,ls
5,raw,-0.4,5,1,500,ls
5,raw,-0.4,5,1,500,ls
5,old,-0.4,5,1,500,ls
5,boot,-0.4,5,1,500,ls
5,all_boot,-0.4,5,1,500,ls
5,null,-0.4,5,1,500,ls
5,gn,-0.4,5,1,500,ls
5,hybrid_gn,-0.4,5,1,500,ls
5,none,-0.4,5,1,500,ls
5,shrunk,-0.4,5,1,500,ls
6,raw,-0.4,6,1,500,ls
6,raw,-0.4,6,1,500,ls
6,raw,-0.4,6,1,500,ls
6,raw,-0.4,6,1,500,ls
6,old,-0.4,6,1,500,ls
6,boot,-0.4,6,1,500,ls
6,all_boot,-0.4,6,1,500,ls
6,null,-0.4,6,1,500,ls
6,gn,-0.4,6,1,500,ls
6,hybrid_gn,-0.4,6,1,500,ls
6,none,-0.4,6,1,500,ls
6,shrunk,-0.4,6,1,500,ls
7,raw,-0.4,7,1,500,ls
7,raw,-0.4,7,1,500,ls
7,raw,-0.4,7,1,500,ls
7,raw,-0.4,7,1,500,ls
7,old,-0.4,7,1,500,ls
7,boot,-0.4,7,1,500,ls
7,all_boot,-0.4,7,1,500,ls
7,null,-0.4,7,1,500,ls
7,gn,-0.4,7,1,500,ls
7,hybrid_gn,-0.4,7,1,500,ls
7,none,-0.4,7,1,500,ls
7,shrunk,-0.4,7,1,500,ls
8,raw,-0.4,8,1,500,ls
8,raw,-0.4,8,1,500,ls
8,raw,-0.4,8,1,500,ls
8,raw,-0.4,8,1,500,ls
8,old,-0.4,8,1,500,ls
8,boot,-0.4,8,1,500,ls
8,all_boot,-0.4,8,1,500,ls
8,null,-0.4,8,1,500,ls
8,gn,-0.4,8,1,500,ls
8,hybrid_gn,-0.4,8,1,500,ls
8,none,-0.4,8,1,500,ls
8,shrunk,-0.4,8,1,500,ls
9,raw,-0.4,9,1,500,ls
9,raw,-0.4,9,1,500,ls
9,raw,-0.4,9,1,500,ls
9,raw,-0.4,9,1,500,ls
9,old,-0.4,9,1,500,ls
9,boot,-0.4,9,1,500,ls
9,all_boot,-0.4,9,1,500,ls
9,null,-0.4,9,1,500,ls
9,gn,-0.4,9,1,500,ls
9,hybrid_gn,-0.4,9,1,500,ls
9,none,-0.4,9,1,500,ls
9,shrunk,-0.4,9,1,500,ls
10,raw,-0.4,10,1,500,ls
10,raw,-0.4,10,1,500,ls
10,raw,-0.4,10,1,500,ls
10,raw,-0.4,10,1,500,ls
10,old,-0.4,10,1,500,ls
10,boot,-0.4,10,1,500,ls
10,all_boot,-0.4,10,1,500,ls
10,null,-0.4,10,1,500,ls
10,gn,-0.4,10,1,500,ls
10,hybrid_gn,-0.4,10,1,500,ls
10,none,-0.4,10,1,500,ls
10,shrunk,-0.4,10,1,500,ls
11,raw,-0.4,11,1,500,ls
11,raw,-0.4,11,1,500,ls
11,raw,-0.4,11,1,500,ls
11,raw,-0.4,11,1,500,ls
11,old,-0.4,11,1,500,ls
11,boot,-0.4,11,1,500,ls
11,all_boot,-0.4,11,1,500,ls
11,null,-0.4,11,1,500,ls
11,gn,-0.4,11,1,500,ls
11,hybrid_gn,-0.4,11,1,500,ls
11,none,-0.4,11,1,500,ls
11,shrunk,-0.4,11,1,500,ls
12,raw,-0.4,12,1,500,ls
12,raw,-0.4,12,1,500,ls
12,raw,-0.4,12,1,500,ls
12,raw,-0.4,12,1,500,ls
12,old,-0.4,12,1,500,ls
12,boot,-0.4,12,1,500,ls
12,all_boot,-0.4,12,1,500,ls
12,null,-0.4,12,1,500,ls
12,gn,-0.4,12,1,500,ls
12,hybrid_gn,-0.4,12,1,500,ls
12,none,-0.4,12,1,500,ls
12,shrunk,-0.4,12,1,500,ls
13,raw,-0.4,13,1,500,ls
13,raw,-0.4,13,1,500,ls
13,raw,-0.4,13,1,500,ls
13,raw,-0.4,13,1,500,ls
13,old,-0.4,13,1,500,ls
13,boot,-0.4,13,1,500,ls
13,all_boot,-0.4,13,1,500,ls
13,null,-0.4,13,1,500,ls
13,gn,-0.4,13,1,500,ls
13,hybrid_gn,-0.4,13,1,500,ls
13,none,-0.4,13,1,500,ls
13,shrunk,-0.4,13,1,500,ls
14,raw,-0.4,14,1,500,ls
14,raw,-0.4,14,1,500,ls
14,raw,-0.4,14,1,500,ls
14,raw,-0.4,14,1,500,ls
14,old,-0.4,14,1,500,ls
14,boot,-0.4,14,1,500,ls
14,all_boot,-0.4,14,1,500,ls
14,null,-0.4,14,1,500,ls
14,gn,-0.4,14,1,500,ls
14,hybrid_gn,-0.4,14,1,500,ls
14,none,-0.4,14,1,500,ls
14,shrunk,-0.4,14,1,500,ls
15,raw,-0.4,15,1,500,ls
15,raw,-0.4,15,1,500,ls
15,raw,-0.4,15,1,500,ls
15,raw,-0.4,15,1,500,ls
15,old,-0.4,15,1,500,ls
15,boot,-0.4,15,1,500,ls
15,all_boot,-0.4,15,1,500,ls
15,null,-0.4,15,1,500,ls
15,gn,-0.4,15,1,500,ls
15,hybrid_gn,-0.4,15,1,500,ls
15,none,-0.4,15,1,500,ls
15,shrunk,-0.4,15,1,500,ls
16,raw,-0.4,16,1,500,ls
16,raw,-0.4,16,1,500,ls
16,raw,-0.4,16,1,500,ls
16,raw,-0.4,16,1,500,ls
16,old,-0.4,16,1,500,ls
16,boot,-0.4,16,1,500,ls
16,all_boot,-0.4,16,1,500,ls
16,null,-0.4,16,1,500,ls
16,gn,-0.4,16,1,500,ls
16,hybrid_gn,-0.4,16,1,500,ls
16,none,-0.4,16,1,500,ls
16,shrunk,-0.4,16,1,500,ls
17,raw,-0.4,17,1,500,ls
17,raw,-0.4,17,1,500,ls
17,raw,-0.4,17,1,500,ls
17,raw,-0.4,17,1,500,ls
17,old,-0.4,17,1,500,ls
17,boot,-0.4,17,1,500,ls
17,all_boot,-0.4,17,1,500,ls
17,null,-0.4,17,1,500,ls
17,gn,-0.4,17,1,500,ls
17,hybrid_gn,-0.4,17,1,500,ls
17,none,-0.4,17,1,500,ls
17,shrunk,-0.4,17,1,500,ls
18,raw,-0.4,18,1,500,ls
18,raw,-0.4,18,1,500,ls
18,raw,-0.4,18,1,500,ls
18,raw,-0.4,18,1,500,ls
18,old,-0.4,18,1,500,ls
18,boot,-0.4,18,1,500,ls
18,all_boot,-0.4,18,1,500,ls
18,null,-0.4,18,1,500,ls
18,gn,-0.4,18,1,500,ls
18,hybrid_gn,-0.4,18,1,500,ls
18,none,-0.4,18,1,500,ls
18,shrunk,-0.4,18,1,500,ls
19,raw,-0.4,19,1,500,ls
19,raw,-0.4,19,1,500,ls
19,raw,-0.4,19,1,500,ls
19,raw,-0.4,19,1,500,ls
19,old,-0.4,19,1,500,ls
19,boot,-0.4,19,1,500,ls
19,all_boot,-0.4,19,1,500,ls
19,null,-0.4,19,1,500,ls
19,gn,-0.4,19,1,500,ls
19,hybrid_gn,-0.4,19,1,500,ls
19,none,-0.4,19,1,500,ls
19,shrunk,-0.4,19,1,500,ls
20,raw,-0.4,20,1,500,ls
20,raw,-0.4,20,1,500,ls
20,raw,-0.4,20,1,500,ls
20,raw,-0.4,20,1,500,ls
20,old,-0.4,20,1,500,ls
20,boot,-0.4,20,1,500,ls
20,all_boot,-0.4,20,1,500,ls
20,null,-0.4,20,1,500,ls
20,gn,-0.4,20,1,500,ls
20,hybrid_gn,-0.4,20,1,500,ls
20,none,-0.4,20,1,500,ls
20,shrunk,-0.4,20,1,500,ls
21,raw,-0.4,21,1,500,ls
21,raw,-0.4,21,1,500,ls
21,raw,-0.4,21,1,500,ls
21,raw,-0.4,21,1,500,ls
21,old,-0.4,21,1,500,ls
21,boot,-0.4,21,1,500,ls
21,all_boot,-0.4,21,1,500,ls
21,null,-0.4,21,1,500,ls
21,gn,-0.4,21,1,500,ls
21,hybrid_gn,-0.4,21,1,500,ls
21,none,-0.4,21,1,500,ls
21,shrunk,-0.4,21,1,500,ls
22,raw,-0.4,22,1,500,ls
22,raw,-0.4,22,1,500,ls
22,raw,-0.4,22,1,500,ls
22,raw,-0.4,22,1,500,ls
22,old,-0.4,22,1,500,ls
22,boot,-0.4,22,1,500,ls
22,all_boot,-0.4,22,1,500,ls
22,null,-0.4,22,1,500,ls
22,gn,-0.4,22,1,500,ls
22,hybrid_gn,-0.4,22,1,500,ls
22,none,-0.4,22,1,500,ls
22,shrunk,-0.4,22,1,500,ls
23,raw,-0.4,23,1,500,ls
23,raw,-0.4,23,1,500,ls
23,raw,-0.4,23,1,500,ls
23,raw,-0.4,23,1,500,ls
23,old,-0.4,23,1,500,ls
23,boot,-0.4,23,1,500,ls
23,all_boot,-0.4,23,1,500,ls
23,null,-0.4,23,1,500,ls
23,gn,-0.4,23,1,500,ls
23,hybrid_gn,-0.4,23,1,500,ls
23,none,-0.4,23,1,500,ls
23,shrunk,-0.4,23,1,500,ls
24,raw,-0.4,24,1,500,ls
24,raw,-0.4,24,1,500,ls
24,raw,-0.4,24,1,500,ls
24,raw,-0.4,24,1,500,ls
24,old,-0.4,24,1,500,ls
24,boot,-0.4,24,1,500,ls
24,all_boot,-0.4,24,1,500,ls
24,null,-0.4,24,1,500,ls
24,gn,-0.4,24,1,500,ls
24,hybrid_gn,-0.4,24,1,500,ls
24,none,-0.4,24,1,500,ls
24,shrunk,-0.4,24,1,500,ls
25,raw,-0.4,25,1,500,ls
25,raw,-0.4,25,1,500,ls
25,raw,-0.4,25,1,500,ls
25,raw,-0.4,25,1,500,ls
25,old,-0.4,25,1,500,ls
25,boot,-0.4,25,1,500,ls
25,all_boot,-0.4,25,1,500,ls
25,null,-0.4,25,1,500,ls
25,gn,-0.4,25,1,500,ls
25,hybrid_gn,-0.4,25,1,500,ls
25,none,-0.4,25,1,500,ls
25,shrunk,-0.4,25,1,500,ls
26,raw,-0.4,26,1,500,ls
26,raw,-0.4,26,1,500,ls
26,raw,-0.4,26,1,500,ls
26,raw,-0.4,26,1,500,ls
26,old,-0.4,26,1,500,ls
26,boot,-0.4,26,1,500,ls
26,all_boot,-0.4,26,1,500,ls
26,null,-0.4,26,1,500,ls
26,gn,-0.4,26,1,500,ls
26,hybrid_gn,-0.4,26,1,500,ls
26,none,-0.4,26,1,500,ls
26,shrunk,-0.4,26,1,500,ls
27,raw,-0.4,27,1,500,ls
27,raw,-0.4,27,1,500,ls
27,raw,-0.4,27,1,500,ls
27,raw,-0.4,27,1,500,ls
27,old,-0.4,27,1,500,ls
27,boot,-0.4,27,1,500,ls
27,all_boot,-0.4,27,1,500,ls
27,null,-0.4,27,1,500,ls
27,gn,-0.4,27,1,500,ls
27,hybrid_gn,-0.4,27,1,500,ls
27,none,-0.4,27,1,500,ls
27,shrunk,-0.4,27,1,500,ls
28,raw,-0.4,28,1,500,ls
28,raw,-0.4,28,1,500,ls
28,raw,-0.4,28,1,500,ls
28,raw,-0.4,28,1,500,ls
28,old,-0.4,28,1,500,ls
28,boot,-0.4,28,1,500,ls
28,all_boot,-0.4,28,1,500,ls
28,null,-0.4,28,1,500,ls
28,gn,-0.4,28,1,500,ls
28,hybrid_gn,-0.4,28,1,500,ls
28,none,-0.4,28,1,500,ls
28,shrunk,-0.4,28,1,500,ls
29,raw,-0.4,29,1,500,ls
29,raw,-0.4,29,1,500,ls
29,raw,-0.4,29,1,500,ls
29,raw,-0.4,29,1,500,ls
29,old,-0.4,29,1,500,ls
29,boot,-0.4,29,1,500,ls
29,all_boot,-0.4,29,1,500,ls
29,null,-0.4,29,1,500,ls
29,gn,-0.4,29,1,500,ls
29,hybrid_gn,-0.4,29,1,500,ls
29,none,-0.4,29,1,500,ls
29,shrunk,-0.4,29,1,500,ls
30,raw,-0.4,30,1,500,ls
30,raw,-0.4,30,1,500,ls
30,raw,-0.4,30,1,500,ls
30,raw,-0.4,30,1,500,ls
30,old,-0.4,30,1,500,ls
30,boot,-0.4,30,1,500,ls
30,all_boot,-0.4,30,1,500,ls
30,null,-0.4,30,1,500,ls
30,gn,-0.4,30,1,500,ls
30,hybrid_gn,-0.4,30,1,500,ls
30,none,-0.4,30,1,500,ls
30,shrunk,-0.4,30,1,500,ls
31,raw,-0.4,31,1,500,ls
31,raw,-0.4,31,1,500,ls
31,raw,-0.4,31,1,500,ls
31,raw,-0.4,31,1,500,ls
31,old,-0.4,31,1,500,ls
31,boot,-0.4,31,1,500,ls
31,all_boot,-0.4,31,1,500,ls
31,null,-0.4,31,1,500,ls
31,gn,-0.4,31,1,500,ls
31,hybrid_gn,-0.4,31,1,500,ls
31,none,-0.4,31,1,500,ls
31,shrunk,-0.4,31,1,500,ls
32,raw,-0.4,32,1,500,ls
32,raw,-0.4,32,1,500,ls
32,raw,-0.4,32,1,500,ls
32,raw,-0.4,32,1,500,ls
32,old,-0.4,32,1,500,ls
32,boot,-0.4,32,1,500,ls
32,all_boot,-0.4,32,1,500,ls
32,null,-0.4,32,1,500,ls
32,gn,-0.4,32,1,500,ls
32,hybrid_gn,-0.4,32,1,500,ls
32,none,-0.4,32,1,500,ls
32,shrunk,-0.4,32,1,500,ls
33,raw,-0.4,33,1,500,ls
33,raw,-0.4,33,1,500,ls
33,raw,-0.4,33,1,500,ls
33,raw,-0.4,33,1,500,ls
33,old,-0.4,33,1,500,ls
33,boot,-0.4,33,1,500,ls
33,all_boot,-0.4,33,1,500,ls
33,null,-0.4,33,1,500,ls
33,gn,-0.4,33,1,500,ls
33,hybrid_gn,-0.4,33,1,500,ls
